Allocation Code,Buy vs DAT CallOut,Carrier Id,Destination Name,Equipment Type,Hazmat,Lane,Lanes with Multiple Carriers,Loads with DAT Info,Mileage Band Lower,Mileage Band Upper,Order Type,Tier,Buy (Non DAT),Freight Charge,Freight Pay,Fuel Charge,Sell (Non DAT)
XPOGEXP,At or Below Market,BIAGWOIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1350,1012.1,1350,128.04,1012
XPOCHA,At or Below Market,MSCEGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,700,643.44,700,83.02,643
XPOCHA,Over Market,UPTRHITX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,2000,643.44,2000,83.02,643
XPOCHA,Over Market,UPTRHITX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,2000,643.44,2000,83.02,643
XPOGEXP,At or Below Market,OMEGDATX,32Z -  JACKSONVILLE NDC,Van w/ Team,0,"Dallas, TX -- Jacksonville, FL",Multi,0,1000,1500,Expedited,Strategic,2000,3580.65,2000,0,3581
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,VICTNONJ,BDL5,Van - 53 Feet,0,"Allentown, PA -- Wallingford, CT",Multi,0,150,200,Expedited,Strategic,800,667.38,800,37.18,667
XPOGEXP,At or Below Market,ROYAMIM2,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1000,1012.1,1000,121.94,1012
XPOGEXP,At or Below Market,ROYAMIM2,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1000,1012.1,1000,121.94,1012
XPOGEXP,At or Below Market,ROYAMIM2,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1000,1012.1,1000,121.94,1012
XPOGEXP,At or Below Market,BIAGWOIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1000,1012.1,1000,121.94,1012
XPOGTEM,At or Below Market,NIGHWHCA,Saddle Creek (Sams Club # 6274,Reefer - 53,0,"Dallas, TX -- Jacksonville, FL",Multi,1,1000,1500,Truckload Contract,Strategic,1700,1513.17,1700,201.06,1513
XPOGEXP,At or Below Market,IEWDIL,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1950,1731.55,1950,121.94,1732
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,At or Below Market,BORDDOTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,Over Market,TRIPFAAL,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1250,638.25,1250,83.02,638
XPOGEXP,At or Below Market,NFLLRITX,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,2070,1731.55,2070,121.94,1732
XPOCHA,At or Below Market,INTEBRT2,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1000,638.25,1000,83.02,638
XPOGEXP,At or Below Market,EXCECOOH,MSP5,Van - 53 Feet,0,"Plainfield, IN -- Shakopee, MN",Multi,0,500,750,Expedited,Strategic,1100,1012.1,1100,121.94,1012
XPOCHA,At or Below Market,MSCEGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,700,638.25,700,83.02,638
XPOCHA,At or Below Market,MSCEGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,700,643.44,700,77.84,643
XPOCHA,At or Below Market,TMEXGRTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,750,638.25,750,83.02,638
XPOCHA,At or Below Market,WSLUTX,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,900,638.25,900,83.02,638
XPOCHA,Over Market,ROADDAIL,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1200,638.25,1200,83.02,638
XPOCHA,At or Below Market,INTEBRT2,"TRANS-TRADE, INC.",Van - 53 Feet,0,"Mcallen, TX -- Dallas, TX",Multi,1,500,750,Truckload Contract,Strategic,1000,638.25,1000,83.02,638
