Month,Customer Id,Origin Zip Code,Destination Zip Code,Distance,Loads,Lanes with Multiple Carriers,Same Day Loads,Lane,Equipment Type,Order Type,Total Cost USD
6,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1866
6,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,700
6,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,2000
6,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,2000
7,USPOLAMD,75261,32099,1005.8,1,1,0,"Dallas, TX -- Jacksonville, FL",Van w/ Team,Expedited,2000
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1000
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1000
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1000
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1000
7,WHITBRCO,75212,32226,1020.5,1,1,0,"Dallas, TX -- Jacksonville, FL",Reefer - 53,Truckload Contract,1700
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1950
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1250
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,2200
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1000
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1100
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,700
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,700
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,750
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1200
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1000
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,950
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,500
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,2000
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1100
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,500
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,500
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,160
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,200
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1400
7,AMAZSEWA,18202,76177,1494.2,1,1,0,"Hazleton, PA -- Fort Worth, TX",Van - 53 Feet,Expedited,200
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,200
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,950
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,950
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1940
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,800
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,AMAZSEWA,18202,76177,1494.2,1,1,0,"Hazleton, PA -- Fort Worth, TX",Van - 53 Feet,Expedited,2500
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1200
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1200
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,750
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1100
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1000
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,1000
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,200
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,300
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,200
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,400
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,700
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,700
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,950
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,950
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1200
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1100
7,AMAZSEW2,18109,6492,185.9,1,1,0,"Allentown, PA -- Wallingford, CT",Van - 53 Feet,Expedited,800
7,AMAZSEWA,18202,76177,1494.2,1,1,0,"Hazleton, PA -- Fort Worth, TX",Van - 53 Feet,Expedited,2500
7,AMAZSEWA,18202,76177,1494.2,1,1,0,"Hazleton, PA -- Fort Worth, TX",Van - 53 Feet,Expedited,2500
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,800
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,EMERSAM2,78503,75261,518.9,1,1,0,"Mcallen, TX -- Dallas, TX",Van - 53 Feet,Truckload Contract,900
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1200
7,AMAZSEW2,46168,55379,609.7,1,1,0,"Plainfield, IN -- Shakopee, MN",Van - 53 Feet,Expedited,1000
