UnixTime,Month,Day,Origin Zip Code,Destination Zip Code,Total Cost USD
2017,6,22,46168,55379,1866
2017,6,30,78503,75261,700
2017,6,30,78503,75261,2000
2017,6,30,78503,75261,2000
2017,7,6,75261,32099,2000
2017,7,2,18109,6492,800
2017,7,3,18109,6492,800
2017,7,3,18109,6492,800
2017,7,4,18109,6492,800
2017,7,4,18109,6492,800
2017,7,5,18109,6492,800
2017,7,5,18109,6492,800
2017,7,6,18109,6492,800
2017,7,6,18109,6492,800
2017,7,7,18109,6492,800
2017,7,8,18109,6492,800
2017,7,8,18109,6492,800
2017,7,7,18109,6492,800
2017,7,2,18109,6492,800
2017,7,4,46168,55379,1000
2017,7,6,46168,55379,1000
2017,7,8,46168,55379,1000
2017,7,3,46168,55379,1000
2017,7,5,75212,32226,1700
2017,7,6,46168,55379,1950
2017,7,5,78503,75261,900
2017,7,5,78503,75261,900
2017,7,5,78503,75261,900
2017,7,6,78503,75261,1250
2017,7,7,46168,55379,2200
2017,7,5,78503,75261,1000
2017,7,6,46168,55379,1100
2017,7,5,78503,75261,700
2017,7,7,78503,75261,700
2017,7,6,78503,75261,750
2017,7,6,78503,75261,900
2017,7,6,78503,75261,1200
2017,7,6,78503,75261,1000
2017,7,6,78503,75261,900
2017,7,6,78503,75261,950
2017,7,6,46168,55379,500
2017,7,8,46168,55379,2000
2017,7,8,46168,55379,1100
2017,7,9,18109,6492,800
2017,7,10,18109,6492,800
2017,7,10,18109,6492,800
2017,7,11,18109,6492,800
2017,7,11,18109,6492,800
2017,7,14,18109,6492,500
2017,7,15,18109,6492,500
2017,7,9,18109,6492,160
2017,7,12,18109,6492,800
2017,7,12,18109,6492,800
2017,7,13,18109,6492,800
2017,7,13,18109,6492,800
2017,7,15,18109,6492,800
2017,7,14,18109,6492,200
2017,7,10,46168,55379,1400
2017,7,9,18202,76177,200
2017,7,10,78503,75261,900
2017,7,10,78503,75261,900
2017,7,11,78503,75261,900
2017,7,11,78503,75261,900
2017,7,11,46168,55379,200
2017,7,10,78503,75261,950
2017,7,10,78503,75261,950
2017,7,12,46168,55379,1940
2017,7,13,78503,75261,800
2017,7,11,78503,75261,900
2017,7,11,78503,75261,900
2017,7,11,78503,75261,900
2017,7,11,78503,75261,900
2017,7,12,18202,76177,2500
2017,7,12,78503,75261,1200
2017,7,12,78503,75261,1200
2017,7,13,78503,75261,900
